date	tt	title	year	directors	stars	plot
2014-04-19	tt0983193	The Adventures of Tintin	2011	Steven Spielberg	Jamie Bell,Andy Serkis,Daniel Craig	Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
2014-04-20	tt1046173	G.I. Joe: The Rise of Cobra	2009	Stephen Sommers	Adewale Akinnuoye-Agbaje,Christopher Eccleston,Grégory Fitoussi	An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.
2014-04-28	tt0988045	Sherlock Holmes	2009	Guy Ritchie	Robert Downey Jr.,Jude Law,Rachel McAdams	Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
2014-05-02	tt1454029	The Help	2011	Tate Taylor	Emma Stone,Viola Davis,Bryce Dallas Howard	An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.
2014-05-03	tt0120751	Mighty Joe Young	1998	Ron Underwood	Charlize Theron,Bill Paxton,Rade Serbedzija	A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by zoologist Gregg O'Hara (Bill Paxton) and Jill Young (Charlize Theron), with whom he grew up. Poacher Strasser (Rade Serbedzija) returns from the past to seek vengeance on Joe.
2014-05-04	tt1515091	Sherlock Holmes: A Game of Shadows	2011	Guy Ritchie	Robert Downey Jr.,Jude Law,Noomi Rapace	Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.
2014-05-09	tt0864761	The Duchess	2008	Saul Dibb	Keira Knightley,Ralph Fiennes,Charlotte Rampling	A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was revered for her extravagant political and personal life.
2014-05-10	tt0397313	Eight Below	2006	Frank Marshall	Paul Walker,Bruce Greenwood,Moon Bloodgood	Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.
2014-05-11	tt0413300	Spider-Man 3	2007	Sam Raimi	Tobey Maguire,Kirsten Dunst,James Franco	A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.
2014-05-16	tt1022603	500 Days of Summer	2009	Marc Webb	Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend	After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.
2014-05-17	tt0963966	The Sorcerer's Apprentice	2010	Jon Turteltaub	Nicolas Cage,Jay Baruchel,Alfred Molina	A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.
2014-05-18	tt1217613	Battle Los Angeles	2011	Jonathan Liebesman	Aaron Eckhart,Ramón Rodríguez,Will Rothhaar	A squad of U.S. Marines becomes the last line of defense against a global invasion.
2014-05-23	tt0976051	The Reader	2008	Stephen Daldry	Ralph Fiennes,Jeanette Hain,David Kross	Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.
2014-05-24	tt1464540	I Am Number Four	2011	D.J. Caruso	Alex Pettyfer,Timothy Olyphant,Teresa Palmer	Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.
2014-05-25	tt0458525	X-Men Origins: Wolverine	2009	Gavin Hood	Hugh Jackman,Liev Schreiber,Danny Huston	The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.
2014-06-21	tt1093357	The Darkest Hour	2011	Chris Gorak	Emile Hirsch,Olivia Thirlby,Max Minghella	In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.
2014-06-22	tt0409182	Poseidon	2006	Wolfgang Petersen	Josh Lucas,Kurt Russell,Jacinda Barrett	On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.
2014-07-11	tt0892769	How to Train Your Dragon	2010	Dean DeBlois,Chris Sanders	Jay Baruchel,Gerard Butler,Craig Ferguson	A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.
2014-07-20	tt1250777	Kick-Ass	2010	Matthew Vaughn	Aaron Taylor-Johnson,Garrett M. Brown,Clark Duke	Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.
2014-07-25	tt1302067	Yogi Bear	2010	Eric Brevig	Dan Aykroyd,Justin Timberlake,Anna Faris	A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo and Ranger Smith.
2014-08-15	tt0479952	Madagascar: Escape 2 Africa	2008	Eric Darnell,Tom McGrath	Ben Stiller,Chris Rock,David Schwimmer	The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.
